station,t,price,load,grid_energy,charge,discharge,soc_end,mode,slot_cost,groundtruth_load,penalty_rate,diff,penalty_cost,realized_slot_cost
12164-0,46,53.83,108.483734,103.483734,0.0,5.0,25.263157894736842,0,5570.52940122,109.07748986699646,1345.75,-0.5937558669964602,799.0469580104864,6369.576359230487
12164-0,47,53.83,108.33166,103.33166,0.0,5.0,20.0,0,5562.3432578,108.93599967939728,1345.75,-0.6043396793972846,813.2901235488957,6375.633381348896
12165-0,0,35.72,137.62057,137.62057,0.0,0.0,20.0,0,4915.8067604,139.0038443778061,893.0,-1.3832743778061172,1235.2640193808627,6151.070779780863
12165-0,1,35.72,138.40388,138.40388,0.0,0.0,20.0,0,4943.786593599999,138.94795717589372,893.0,-0.5440771758937331,485.8609180731036,5429.647511673103
12165-0,2,35.49,138.38622,138.38622,0.0,0.0,20.0,0,4911.3269478,138.9919013999618,887.25,-0.6056813999617816,537.3908221160907,5448.717769916091
12165-0,3,35.49,138.82738,138.82738,0.0,0.0,20.0,0,4926.9837162,138.98415700935965,887.25,-0.15677700935964367,139.10040155434385,5066.084117754344
12165-0,4,35.07,138.13466,139.45044947368422,1.3157894736842106,0.0,21.25,1,4890.527263042106,139.0315135128118,876.75,-0.8968535128118162,786.3163173577599,5676.8435803998655
12165-0,5,35.07,138.19156,143.19156,5.0,0.0,26.0,1,5021.7280092,139.05596323639864,876.75,-0.8644032363986298,757.8655375124987,5779.593546712499
12165-0,6,31.5,138.16542,143.16542,5.0,0.0,30.75,1,4509.710730000001,139.03741823974602,787.5,-0.8719982397460058,686.6986137999795,5196.40934379998
12165-0,7,31.5,138.32944,143.32944,5.0,0.0,35.5,1,4514.87736,139.0084732089706,787.5,-0.6790332089705942,534.7386520643429,5049.6160120643435
12165-0,8,30.27,137.62444,142.62444,5.0,0.0,40.25,1,4317.2417988,139.01887324309337,756.75,-1.3944332430933741,1055.237356710911,5372.4791555109105
12165-0,9,30.27,137.77016,142.77016,5.0,0.0,45.0,1,4321.6527432,138.20994048910575,756.75,-0.4397804891057433,332.8038851307712,4654.456628330771
12165-0,10,35.31,137.38936,137.38936,0.0,0.0,45.0,0,4851.218301600001,138.3654365770387,882.75,-0.9760765770386968,861.6315983809096,5712.849899980911
12165-0,11,35.31,137.93787,137.93787,0.0,0.0,45.0,0,4870.5861897,138.17697490305602,882.75,-0.23910490305601684,211.06985317269886,5081.656042872699
12165-0,12,42.4,137.39206,137.39206,0.0,0.0,45.0,0,5825.423343999999,138.216216115973,1060.0,-0.8241561159730111,873.6054829313917,6699.0288269313905
12165-0,13,42.4,137.77673,137.77673,0.0,0.0,45.0,0,5841.733351999999,138.22382698259923,1060.0,-0.44709698259924835,473.92280155520325,6315.656153555203
12165-0,14,41.16,137.40532,137.40532,0.0,0.0,45.0,0,5655.602971199999,138.23271374499518,1029.0,-0.8273937449951916,851.3881636000522,6506.991134800051
12165-0,15,41.16,138.01894,138.01894,0.0,0.0,45.0,0,5680.859570399999,138.24612548657436,1029.0,-0.22718548657437054,233.7738656850273,5914.633436085026
12165-0,16,51.64,137.59065,137.59065,0.0,0.0,45.0,0,7105.181166,139.6179656509572,1291.0,-2.0273156509571777,2617.2645053857163,9722.445671385716
12165-0,17,51.64,138.10922,138.10922,0.0,0.0,45.0,0,7131.9601207999995,140.0460731896838,1291.0,-1.9368531896838022,2500.4774678817885,9632.437588681787
12165-0,18,56.84,138.2093,133.2093,0.0,5.0,39.73684210526316,0,7571.616612000002,139.9538377943323,1421.0,-1.744537794332274,2478.9882057461614,10050.604817746163
12165-0,19,56.84,138.46117,133.46117,0.0,5.0,34.473684210526315,0,7585.932902800001,140.07423191260114,1421.0,-1.6130619126011254,2292.1609778061993,9878.0938806062
12165-0,20,54.51,138.47493,133.47493,0.0,5.0,29.210526315789473,0,7275.7184343,139.02891721328044,1362.75,-0.5539872132804362,754.9460748979144,8030.664509197914
