round,client_id,weights,dominant_head_id,entropy
6,12167-0,"[0.16787727177143097, 0.16263248026371002, 0.16601434350013733, 0.16752029955387115, 0.16809305548667908, 0.16786254942417145]",4,1.7916920185089111
7,12162-0,"[0.16689495742321014, 0.16589824855327606, 0.166550412774086, 0.16682973504066467, 0.1669342815876007, 0.166892409324646]",4,1.7917571067810059
7,12163-0,"[0.16610495746135712, 0.1685067117214203, 0.16699764132499695, 0.1662801057100296, 0.16599823534488678, 0.1661122739315033]",1,1.7917454242706299
7,12164-0,"[0.16720950603485107, 0.16486351191997528, 0.1663690209388733, 0.16704773902893066, 0.16730745136737823, 0.16720281541347504]",4,1.7917460203170776
7,12165-0,"[0.16515915095806122, 0.17164942622184753, 0.16751526296138763, 0.16561608016490936, 0.1648818701505661, 0.16517820954322815]",1,1.7916572093963623
7,12166-0,"[0.16744552552700043, 0.16408832371234894, 0.16623152792453766, 0.1672106385231018, 0.16758818924427032, 0.16743578016757965]",4,1.7917317152023315
7,12167-0,"[0.1671839952468872, 0.16494810581207275, 0.16638346016407013, 0.16702988743782043, 0.1672772914171219, 0.16717728972434998]",4,1.7917473316192627
8,12162-0,"[0.16676342487335205, 0.16634394228458405, 0.16661478579044342, 0.16673479974269867, 0.1667807549238205, 0.1667623221874237]",4,1.7917590141296387
8,12163-0,"[0.1664232313632965, 0.16746941208839417, 0.16680537164211273, 0.16649752855300903, 0.166377991437912, 0.1664264053106308]",1,1.7917567491531372
8,12164-0,"[0.1668994128704071, 0.16589505970478058, 0.16653801500797272, 0.16682954132556915, 0.1669415980577469, 0.16689637303352356]",4,1.7917568683624268
8,12165-0,"[0.16601809859275818, 0.16881383955478668, 0.16702906787395477, 0.16621358692646027, 0.16589923202991486, 0.16602617502212524]",1,1.7917405366897583
8,12166-0,"[0.16700145602226257, 0.16555793583393097, 0.1664801836013794, 0.16690048575401306, 0.16706261038780212, 0.1669972985982895]",4,1.7917542457580566
8,12167-0,"[0.1668882966041565, 0.16593150794506073, 0.16654422879219055, 0.16682179272174835, 0.16692857444286346, 0.1668855994939804]",4,1.7917572259902954
9,12162-0,"[0.16670788824558258, 0.16652943193912506, 0.1666441410779953, 0.16669563949108124, 0.16671550273895264, 0.16670739650726318]",4,1.7917594909667969
9,12163-0,"[0.16656184196472168, 0.16701388359069824, 0.16672569513320923, 0.16659343242645264, 0.16654230654239655, 0.16656279563903809]",1,1.7917590141296387
9,12164-0,"[0.16676640510559082, 0.16633594036102295, 0.16661138832569122, 0.16673649847507477, 0.16678468883037567, 0.16676512360572815]",4,1.7917590141296387
9,12165-0,"[0.1663878709077835, 0.16759006679058075, 0.16682212054729462, 0.16647183895111084, 0.16633693873882294, 0.16639117896556854]",1,1.7917559146881104
9,12166-0,"[0.16681039333343506, 0.16619032621383667, 0.1665867120027542, 0.16676712036132812, 0.16683664917945862, 0.16680879890918732]",4,1.791758418083191
9,12167-0,"[0.16676175594329834, 0.16635163128376007, 0.16661392152309418, 0.16673313081264496, 0.16677908599376678, 0.16676047444343567]",4,1.7917590141296387
