station,t,price,load,renewable_available,renewable_to_load,renewable_to_battery,grid_energy,grid_to_battery,discharge,soc_end,curtailed_renewable,mode,grid_cost,curtailment_cost,slot_cost,groundtruth_load,shortage_penalty_rate,surplus_penalty_rate,diff,shortage_penalty_cost,surplus_penalty_cost,penalty_cost,realized_slot_cost
12165-0,3,35.49,138.7407,0.0,0.0,0.0,138.7407,0.0,0.0,20.0,0.0,0,4923.907443,0.0,4923.907443,138.98415700935965,887.25,300.0,-0.24345700935964487,216.0072315543449,0.0,216.0072315543449,5139.914674554345
12165-0,4,35.07,138.13306,0.0,0.0,0.0,139.44884947368422,1.3157894736842106,0.0,21.25,0.0,1,4890.471151042106,0.0,4890.471151042106,139.0315135128118,876.75,300.0,-0.8984535128118125,787.7191173577567,0.0,787.7191173577567,5678.190268399862
12165-0,5,35.07,138.02483,0.0,0.0,0.0,143.02483,5.0,0.0,26.0,0.0,1,5015.8807881,0.0,5015.8807881,139.05596323639864,876.75,300.0,-1.031133236398631,904.0460650124998,0.0,904.0460650124998,5919.9268531125
12165-0,6,31.5,137.87605,0.0,0.0,0.0,142.87605,5.0,0.0,30.75,0.0,1,4500.595574999999,0.0,4500.595574999999,139.03741823974602,787.5,300.0,-1.1613682397460252,914.5774887999949,0.0,914.5774887999949,5415.173063799994
12165-0,7,31.5,138.03296,0.0,0.0,0.0,143.03296,5.0,0.0,35.5,0.0,1,4505.53824,0.0,4505.53824,139.0084732089706,787.5,300.0,-0.9755132089705967,768.2166520643449,0.0,768.2166520643449,5273.754892064345
12165-0,8,30.27,137.67328,0.0,0.0,0.0,142.67328,5.0,0.0,40.25,0.0,1,4318.7201856,0.0,4318.7201856,139.01887324309337,756.75,300.0,-1.3455932430933615,1018.2776867109013,0.0,1018.2776867109013,5336.997872310902
12165-0,9,30.27,137.80846,0.0,0.0,0.0,142.80846,5.0,0.0,45.0,0.0,1,4322.8120842,0.0,4322.8120842,138.20994048910575,756.75,300.0,-0.40148048910575085,303.820360130777,0.0,303.820360130777,4626.632444330777
12165-0,10,35.31,137.63615,0.0,0.0,0.0,137.63615,0.0,0.0,45.0,0.0,0,4859.9324565,0.0,4859.9324565,138.3654365770387,882.75,300.0,-0.7292865770387209,643.7777258809309,0.0,643.7777258809309,5503.710182380931
12165-0,11,35.31,137.6404,0.0,0.0,0.0,137.6404,0.0,0.0,45.0,0.0,0,4860.082524,0.0,4860.082524,138.17697490305602,882.75,300.0,-0.536574903056021,473.6614956727025,0.0,473.6614956727025,5333.744019672703
12165-0,12,42.4,137.27434,0.0,0.0,0.0,137.27434,0.0,0.0,45.0,0.0,0,5820.432016,0.0,5820.432016,138.216216115973,1060.0,300.0,-0.9418761159730025,998.3886829313826,0.0,998.3886829313826,6818.820698931382
12165-0,13,42.4,137.38422,0.0,0.0,0.0,137.38422,0.0,0.0,45.0,0.0,0,5825.090928,0.0,5825.090928,138.22382698259923,1060.0,300.0,-0.8396069825992356,889.9834015551897,0.0,889.9834015551897,6715.074329555189
12165-0,14,41.16,137.56178,0.186,0.186,0.0,137.37578,0.0,0.0,45.0,0.0,0,5654.387104799999,0.0,5654.387104799999,138.23271374499518,1029.0,300.0,-0.6709337449951818,690.390823600042,0.0,690.390823600042,6344.777928400041
12165-0,15,41.16,137.80653,0.186,0.186,0.0,137.62053,0.0,0.0,45.0,0.0,0,5664.461014799999,0.0,5664.461014799999,138.24612548657436,1029.0,300.0,-0.43959548657434766,452.34375568500377,0.0,452.34375568500377,6116.804770485003
12165-0,16,51.64,137.90118,0.454,0.454,0.0,137.44718,0.0,0.0,45.0,0.0,0,7097.7723752,0.0,7097.7723752,139.6179656509572,1291.0,300.0,-1.7167856509571777,2216.3702753857165,0.0,2216.3702753857165,9314.142650585716
12165-0,17,51.64,138.52924,0.454,0.454,0.0,138.07523999999998,0.0,0.0,45.0,0.0,0,7130.205393599999,0.0,7130.205393599999,140.0460731896838,1291.0,300.0,-1.5168331896838083,1958.2316478817966,0.0,1958.2316478817966,9088.437041481797
12165-0,18,56.84,138.65652,0.637,0.637,0.0,133.01952,0.0,5.0,39.73684210526316,0.0,0,7560.8295168,0.0,7560.8295168,139.9538377943323,1421.0,300.0,-1.2973177943322867,1843.4885857461793,0.0,1843.4885857461793,9404.31810254618
12165-0,19,56.84,138.78723,0.637,0.637,0.0,133.15023,0.0,5.0,34.473684210526315,0.0,0,7568.2590732,0.0,7568.2590732,140.07423191260114,1421.0,300.0,-1.2870019126011414,1828.8297178062219,0.0,1828.8297178062219,9397.088791006221
12165-0,20,54.51,138.36765,0.744,0.744,0.0,132.62365,0.0,5.0,29.210526315789473,0.0,0,7229.3151615,0.0,7229.3151615,139.02891721328044,1362.75,300.0,-0.6612672132804391,901.1418948979184,0.0,901.1418948979184,8130.457056397918
