station,t,price,load,renewable_available,renewable_to_load,renewable_to_battery,grid_energy,grid_to_battery,discharge,soc_end,curtailed_renewable,mode,grid_cost,curtailment_cost,slot_cost,groundtruth_load,shortage_penalty_rate,surplus_penalty_rate,diff,shortage_penalty_cost,surplus_penalty_cost,penalty_cost,realized_slot_cost
12165-0,44,37.53,137.36781,0.0,0.0,0.0,142.36781,5.0,0.0,25.776315789473685,0.0,1,5343.0639093,0.0,5343.0639093,138.2397905157178,938.25,300.0,-0.8719805157178087,818.135718872234,0.0,818.135718872234,6161.199628172234
12165-0,45,37.53,137.80615,0.0,0.0,0.0,142.80615,5.0,0.0,30.526315789473685,0.0,1,5359.5148095,0.0,5359.5148095,138.27956582453837,938.25,300.0,-0.47341582453836395,444.18239737311995,0.0,444.18239737311995,5803.69720687312
12165-0,46,53.83,137.81648,0.0,0.0,0.0,132.81648,0.0,5.0,25.263157894736842,0.0,0,7149.511118400001,0.0,7149.511118400001,138.276554117082,1345.75,300.0,-0.4600741170819731,619.1447430630653,0.0,619.1447430630653,7768.655861463066
12165-0,47,53.83,138.41022,0.0,0.0,0.0,133.41022,0.0,5.0,20.0,0.0,0,7181.472142600001,0.0,7181.472142600001,138.27124283004068,1345.75,300.0,0.1389771699593325,0.0,41.693150987799754,41.693150987799754,7223.1652935878
12166-0,0,35.72,97.08747,0.0,0.0,0.0,97.08747,0.0,0.0,20.0,0.0,0,3467.9644283999996,0.0,3467.9644283999996,96.31442614724806,893.0,300.0,0.7730438527519397,0.0,231.9131558255819,231.9131558255819,3699.8775842255814
12166-0,1,35.72,96.67367,0.0,0.0,0.0,96.67367,0.0,0.0,20.0,0.0,0,3453.1834924,0.0,3453.1834924,96.20275331676052,893.0,300.0,0.47091668323948,0.0,141.275004971844,141.275004971844,3594.458497371844
12166-0,2,35.49,96.65306,0.0,0.0,0.0,96.65306,0.0,0.0,20.0,0.0,0,3430.2170994000003,0.0,3430.2170994000003,96.18184665416504,887.25,300.0,0.4712133458349541,0.0,141.36400375048623,141.36400375048623,3571.5811031504863
12166-0,3,35.49,96.62404,0.0,0.0,0.0,96.62404,0.0,0.0,20.0,0.0,0,3429.1871796,0.0,3429.1871796,96.14378718849504,887.25,300.0,0.480252811504954,0.0,144.0758434514862,144.0758434514862,3573.263023051486
12166-0,4,35.07,96.14935,0.0,0.0,0.0,97.4651394736842,1.3157894736842106,0.0,21.25,0.0,1,3418.102441342105,0.0,3418.102441342105,96.1947337077838,876.75,300.0,-0.045383707783798855,39.790165799445646,0.0,39.790165799445646,3457.892607141551
12166-0,5,35.07,96.095436,0.0,0.0,0.0,101.095436,5.0,0.0,26.0,0.0,1,3545.4169405200005,0.0,3545.4169405200005,96.1565664758118,876.75,300.0,-0.06113047581179387,53.59614466799027,0.0,53.59614466799027,3599.013085187991
